,Open,High,Low,Close,Volume 
1/16/2021 0:00,13.158,19.492,13.152,17.943,85164987.8
1/17/2021 0:00,17.946,18.252,16.281,17.091,50857981.8
1/18/2021 0:00,17.09,18.25,15.801,16.601,30254407.6
1/19/2021 0:00,16.595,17.579,16.019,16.411,25134220.9
1/20/2021 0:00,16.411,18.273,14.8,18.017,43651933.4
1/21/2021 0:00,18.022,18.2,14.936,16.01,48007550.6
1/22/2021 0:00,16.016,18.021,14.666,17.134,39246882
1/23/2021 0:00,17.134,18.848,16.804,18.771,32037873.3
1/24/2021 0:00,18.774,18.786,17.23,18.002,20148331.4
1/25/2021 0:00,18.003,19.17,17.082,17.216,23728209.4
1/26/2021 0:00,17.215,17.809,16.03,17.117,17951438.2
1/27/2021 0:00,17.123,17.148,15.065,15.451,22808197.9
1/28/2021 0:00,15.448,17.506,15.276,16.896,19734954.4
1/29/2021 0:00,16.897,17.82,16,16.831,21195359.2
1/30/2021 0:00,16.833,17.099,16.126,16.55,12136769.3
1/31/2021 0:00,16.553,17.602,15.655,16.144,13949745.9
2/1/2021 0:00,16.144,16.579,15.703,16.468,10333533.1
2/2/2021 0:00,16.466,17.704,16.065,17.213,18555700.4
2/3/2021 0:00,17.216,20.97,16.864,20.88,38717930.2
2/4/2021 0:00,20.879,21.946,19.01,19.695,35648972.7
2/5/2021 0:00,19.695,21.472,19.377,20.881,25124472.5
2/6/2021 0:00,20.873,21.509,19.839,20.405,17725677.8
2/7/2021 0:00,20.405,20.85,18.403,19.765,20961242.6
2/8/2021 0:00,19.765,23.777,19.2,23.04,34084912.5
2/9/2021 0:00,23.05,24.269,22.25,23.126,18748202.3
2/10/2021 0:00,23.116,25.053,21.789,23.615,27330060.5
2/11/2021 0:00,23.616,25.8,23.23,25.06,21511694.7
2/12/2021 0:00,25.063,29.85,24.525,28.702,24039557.8
2/13/2021 0:00,28.705,30.328,27.232,28.073,21188201.6
2/14/2021 0:00,28.077,29.517,26.41,26.931,15452172.9
2/15/2021 0:00,26.939,29.641,23,27.831,28367677.7
2/16/2021 0:00,27.842,31.1,26.797,30.12,27106901.2
2/17/2021 0:00,30.129,32.547,29.655,31.988,20888293.7
2/18/2021 0:00,31.987,32.699,30.581,31.156,10578478.3
2/19/2021 0:00,31.155,35.098,29.553,34.872,19566331.1
2/20/2021 0:00,34.878,42.395,34.752,38.979,35310361
2/21/2021 0:00,38.976,40.636,38.095,39.632,18338418.7
2/22/2021 0:00,39.629,39.815,30.038,37.663,31628718.7
2/23/2021 0:00,37.66,37.904,26.116,34.544,40564480.5
2/24/2021 0:00,34.554,36.84,31.839,33.642,23026108.6
2/25/2021 0:00,33.656,35.263,30.86,31.24,16301674.8
2/26/2021 0:00,31.255,33.528,27.953,31.449,28569767.9
2/27/2021 0:00,31.444,35.7,31.335,33.491,25696093.9
2/28/2021 0:00,33.486,34.543,29.692,33.805,24909468
3/1/2021 0:00,33.817,35.711,33.024,35.677,16295645.1
3/2/2021 0:00,35.675,37.976,34.387,36.136,20430023
3/3/2021 0:00,36.148,38.742,36.096,37.043,16145054.1
3/4/2021 0:00,37.041,38.413,34.387,35.277,16195851.8
3/5/2021 0:00,35.277,35.304,31.364,33.64,19390318.3
3/6/2021 0:00,33.643,34.251,32.09,33.395,11070924.7
3/7/2021 0:00,33.405,35.371,33.404,35.132,10300042.8
3/8/2021 0:00,35.14,35.603,33.463,35.023,11075215.3
3/9/2021 0:00,35.025,38.962,34.576,38.291,20194589
3/10/2021 0:00,38.293,39.635,36.318,37.584,21562003.8
3/11/2021 0:00,37.596,38.111,35.879,36.957,15347670.4
3/12/2021 0:00,36.954,37.552,34.386,35.957,12707699.1
3/13/2021 0:00,35.981,38.412,34.74,37.242,12412835.8
3/14/2021 0:00,37.255,38.049,36.313,36.454,10328726.9
3/15/2021 0:00,36.453,38.652,33.699,34.33,18687485.3
3/16/2021 0:00,34.321,35.583,32.01,35.44,15057332.1
3/17/2021 0:00,35.44,36.48,34.418,36.154,12297926.3
3/18/2021 0:00,36.153,37.072,35.335,35.386,10298064.1
3/19/2021 0:00,35.388,38.96,34.643,38.252,17582921.3
3/20/2021 0:00,38.24,40.21,37.19,37.272,15773431.3
3/21/2021 0:00,37.272,38.151,36.129,36.723,12061765
3/22/2021 0:00,36.727,37.844,35.052,35.278,12373196.3
3/23/2021 0:00,35.284,36.337,34.046,34.237,10775906.4
3/24/2021 0:00,34.232,36.165,27.12,30.193,21832780.8
3/25/2021 0:00,30.203,31.275,28.397,29.807,26515392.5
3/26/2021 0:00,29.807,33.4,29.792,33.195,13493384
3/27/2021 0:00,33.187,33.534,31.158,32.628,12413221.4
3/28/2021 0:00,32.626,33.284,31.258,32.269,8338671.6
3/29/2021 0:00,32.27,34.775,31.792,34.391,11325373.4
3/30/2021 0:00,34.391,34.9,33.554,34.039,8716009.4
3/31/2021 0:00,34.046,38.366,33.24,37.122,23952931.8
4/1/2021 0:00,37.122,39.086,36.111,37.511,15231237.5
4/2/2021 0:00,37.514,41.507,36.66,41.135,17315062.5
4/3/2021 0:00,41.135,46.899,41.047,41.421,35312275.3
4/4/2021 0:00,41.43,45.164,40.739,44.372,16594721.6
4/5/2021 0:00,44.374,46.008,41.859,45.93,16534010.9
4/6/2021 0:00,45.923,46.471,41.681,43.4,17487479.8
4/7/2021 0:00,43.404,43.578,37.651,39.571,22515789.6
4/8/2021 0:00,39.575,41.666,39.272,41.372,11017036.4
4/9/2021 0:00,41.365,42.168,40.136,40.847,8688716.3
4/10/2021 0:00,40.847,42.871,40.011,41.657,11149156.6
4/11/2021 0:00,41.663,41.998,40.1,41.4,8469809.2
4/12/2021 0:00,41.411,41.877,39.429,40.539,9371896.6
4/13/2021 0:00,40.539,43.582,39.909,43.021,14998428.7
4/14/2021 0:00,43.03,44.732,40.026,42.584,20585845.8
4/15/2021 0:00,42.582,44.5,41.522,43.494,15846396
4/16/2021 0:00,43.495,43.888,40.01,41.451,18525254.5
4/17/2021 0:00,41.45,48.539,41.435,42.09,33488005.4
4/18/2021 0:00,42.099,42.772,31.176,37.356,48189400.2
4/19/2021 0:00,37.356,38.735,33.958,34.767,22129685.5
4/20/2021 0:00,34.774,35.8,31.549,35.42,23355838
4/21/2021 0:00,35.423,36.358,33.047,33.817,18123651.9
4/22/2021 0:00,33.827,36.83,32.802,32.963,22982564.2
4/23/2021 0:00,32.96,33.535,26.452,32.257,33395778.1
4/24/2021 0:00,32.255,32.429,28.555,29,16745239.8
4/25/2021 0:00,29,31.349,28.1,29.831,14293436.1
4/26/2021 0:00,29.839,33.5,29.751,33.41,15063885.9
4/27/2021 0:00,33.408,34.988,33.184,34.824,13514086.9
4/28/2021 0:00,34.836,35.437,32.6,34,13264606.2
4/29/2021 0:00,33.996,36.015,33.01,35.989,12659208
4/30/2021 0:00,35.992,36.866,35.137,36.553,15819473.6
5/1/2021 0:00,36.554,37.421,35.789,36.959,11979611.1
5/2/2021 0:00,36.957,37.232,35.47,36.658,11217607.8
5/3/2021 0:00,36.655,38.381,36.633,37.296,14684144.2
5/4/2021 0:00,37.306,38.002,34.4,34.796,21499084.4
5/5/2021 0:00,34.798,40.849,34.555,40.477,21794009.5
5/6/2021 0:00,40.476,44.215,38.026,41.637,30580933.5
5/7/2021 0:00,41.642,42.805,38.3,39.865,22928084.6
5/8/2021 0:00,39.871,40.73,38.748,39.953,10914755.8
5/9/2021 0:00,39.956,40.6,38.198,40.347,14289094.3
5/10/2021 0:00,40.328,41.895,32,36.479,23334284.5
5/11/2021 0:00,36.479,38.708,35.58,38.665,14215182.8
5/12/2021 0:00,38.665,42.571,33.644,35.072,29184708.6
5/13/2021 0:00,35.072,41.926,32.8,40.027,45175868.6
5/14/2021 0:00,40.028,48.184,39.433,48.063,37234079.4
5/15/2021 0:00,48.064,49.855,42.783,43.66,41668486.9
5/16/2021 0:00,43.673,46.773,39.3,42.461,27139702.3
5/17/2021 0:00,42.466,42.55,35.132,38.732,30985017.6
5/18/2021 0:00,38.725,42.599,37.688,40.616,24162448.2
5/19/2021 0:00,40.642,41.445,15.376,25.061,69636761.5
5/20/2021 0:00,25.051,31.3,21.071,28.942,51882967
5/21/2021 0:00,28.941,31.01,19.959,24.4,50897272.6
5/22/2021 0:00,24.389,24.618,20.312,22.052,36868429.3
5/23/2021 0:00,22.06,23.467,13.611,17.906,68972958.8
5/24/2021 0:00,17.905,23.477,17.071,23.268,44312245.8
5/25/2021 0:00,23.26,24.218,19.615,22.141,34542082.3
5/26/2021 0:00,22.141,24.788,21.612,24.529,27287311.3
5/27/2021 0:00,24.529,24.97,21.746,23.995,25085377.1
5/28/2021 0:00,23.996,26.231,20.03,21.349,52769895.8
5/29/2021 0:00,21.349,22.319,18.779,19.868,20620470.35
5/30/2021 0:00,19.881,21.356,18.416,20.465,17307772.38
5/31/2021 0:00,20.46,23.45,19.06,23.264,21593146.82
6/1/2021 0:00,23.273,23.539,21.6,22.84,18793956.11
6/2/2021 0:00,22.84,26.87,22.649,25.916,24489800.1
6/3/2021 0:00,25.913,28.6,25.673,27.004,22096623.22
6/4/2021 0:00,27.005,27.019,23.605,24.988,23200131.88
6/5/2021 0:00,24.991,26.4,22.933,23.771,15159286.36
6/6/2021 0:00,23.772,24.501,23.433,24.184,8542620.371
6/7/2021 0:00,24.189,25.283,21.3,21.686,16728777.96
6/8/2021 0:00,21.686,22.291,19.6,21.65,22854699.76
6/9/2021 0:00,21.643,23.335,20.361,23.214,17895882.48
6/10/2021 0:00,23.216,24.6,22.042,22.683,18698941.75
6/11/2021 0:00,22.68,23.206,20.487,20.95,12851416.71
6/12/2021 0:00,20.945,21.262,19.5,20.742,12547282.8
6/13/2021 0:00,20.742,22.412,19.928,22.04,9398764.597
6/14/2021 0:00,22.041,26.026,21.233,25.858,23122012.59
6/15/2021 0:00,25.858,26.009,23.514,23.942,17728382.4
6/16/2021 0:00,23.942,24.584,22.491,23.033,13836266.1
6/17/2021 0:00,23.028,24,22,22.533,10290433.24
6/18/2021 0:00,22.536,22.566,20.205,21.432,10556068.53
6/19/2021 0:00,21.432,21.632,20.215,20.222,7447145.388
6/20/2021 0:00,20.221,21,18.871,20.617,11045346.05
6/21/2021 0:00,20.616,20.794,15.35,15.707,27185128.2
6/22/2021 0:00,15.711,16.936,13,14.688,42443370.03
6/23/2021 0:00,14.684,16.8,13.963,15.792,24268090.27
6/24/2021 0:00,15.794,16.609,14.724,16.223,14150471.67
6/25/2021 0:00,16.224,16.742,14.414,14.422,15832639.43
6/26/2021 0:00,14.424,14.981,13.616,14.511,13921587.24
6/27/2021 0:00,14.507,15.027,14.03,15.01,10035136.21
6/28/2021 0:00,15.008,16.026,14.584,15.794,12407568.95
6/29/2021 0:00,15.793,17.029,15.714,16.3,15069027.29
6/30/2021 0:00,16.305,16.628,15.086,16.402,13522533.23
7/1/2021 0:00,16.4,16.411,14.85,15.174,10239264.12
7/2/2021 0:00,15.173,15.455,14.622,15.289,7898912.744
7/3/2021 0:00,15.288,15.752,15.019,15.52,7020623.727
7/4/2021 0:00,15.523,16.575,15.162,15.975,8386779.841
7/5/2021 0:00,15.974,15.975,14.5,15.228,10609352.58
7/6/2021 0:00,15.229,16.191,15.194,16.135,12531769.01
7/7/2021 0:00,16.127,17.668,16.085,16.861,18479476.99
7/8/2021 0:00,16.862,16.893,14.99,15.317,13613806.66
7/9/2021 0:00,15.311,15.918,14.82,15.681,8527447.532
7/10/2021 0:00,15.681,15.999,15.038,15.276,7361515.051
7/11/2021 0:00,15.277,15.708,15.138,15.495,5220591.256
7/12/2021 0:00,15.495,15.65,14.381,14.845,7384762.29
7/13/2021 0:00,14.845,15.099,14.011,14.19,7000669.871
7/14/2021 0:00,14.191,14.227,13.164,13.801,11240723.81
7/15/2021 0:00,13.798,14.108,12.739,13.095,11295460.34
7/16/2021 0:00,13.095,13.313,12,12.026,11747810.94
7/17/2021 0:00,12.025,12.742,11.71,12.294,12685758.46
7/18/2021 0:00,12.296,12.934,12.258,12.647,8943548.853
7/19/2021 0:00,12.648,12.735,11.354,11.46,13496594.17
